AML Investigation Report
=========================

Account: C835773569 | Amount: 710544.77 | Risk: High
Account: C1703005560 | Amount: 546679.02 | Risk: High
Account: C1808834208 | Amount: 1072919.1 | Risk: High
Account: C1366332921 | Amount: 1716787.46 | Risk: High
Account: C1406220834 | Amount: 542955.08 | Risk: High
Account: C1004939913 | Amount: 733478.62 | Risk: High
Account: C1912085821 | Amount: 1768937.86 | Risk: High
Account: C628353088 | Amount: 561602.23 | Risk: High
Account: C72315740 | Amount: 911778.52 | Risk: High
Account: C755924345 | Amount: 1263303.93 | Risk: High
Account: C1531193789 | Amount: 838405.1 | Risk: High
Account: C729186631 | Amount: 1066808.41 | Risk: High
Account: C743395675 | Amount: 663333.71 | Risk: High
Account: C1967217926 | Amount: 741956.09 | Risk: High
Account: C473570228 | Amount: 975680.85 | Risk: High
Account: C1711643358 | Amount: 1756449.35 | Risk: High
Account: C2009865645 | Amount: 1443616.16 | Risk: High
Account: C1871421073 | Amount: 653795.81 | Risk: High
Account: C736635665 | Amount: 585041.2 | Risk: High
Account: C204428666 | Amount: 894193.26 | Risk: High
Account: C1711568525 | Amount: 622088.3 | Risk: High
Account: C2056546616 | Amount: 635258.23 | Risk: High
Account: C666243995 | Amount: 524850.01 | Risk: High
Account: C538927192 | Amount: 2511506.45 | Risk: High
Account: C1840223033 | Amount: 1524698.25 | Risk: High
Account: C1279045948 | Amount: 521300.86 | Risk: High
Account: C925212502 | Amount: 528231.44 | Risk: High
Account: C444965388 | Amount: 938146.24 | Risk: High
Account: C457997071 | Amount: 755190.6 | Risk: High
Account: C1511971131 | Amount: 1422228.71 | Risk: High
Account: C1642926075 | Amount: 541247.4 | Risk: High
Account: C677685839 | Amount: 1937721.37 | Risk: High
Account: C790723004 | Amount: 761567.02 | Risk: High
Account: C686187434 | Amount: 6188514.81 | Risk: High
Account: C230811728 | Amount: 1346011.21 | Risk: High
Account: C1830546331 | Amount: 1110849.8 | Risk: High
Account: C849745739 | Amount: 583147.47 | Risk: High
Account: C122588947 | Amount: 792941.18 | Risk: High
Account: C1072422711 | Amount: 968678.95 | Risk: High
Account: C242035488 | Amount: 688232.6 | Risk: High
Account: C1779795287 | Amount: 606457.32 | Risk: High
Account: C1231878974 | Amount: 634074.96 | Risk: High
Account: C551831883 | Amount: 1259574.43 | Risk: High
Account: C1790707918 | Amount: 560749.98 | Risk: High
Account: C746558292 | Amount: 557739.04 | Risk: High
Account: C116172763 | Amount: 661398.18 | Risk: High
Account: C1373069306 | Amount: 569081.17 | Risk: High
Account: C1303849254 | Amount: 594896.04 | Risk: High
Account: C813633808 | Amount: 1933468.14 | Risk: High
